CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,PETTMDEDUCTED{2025-12-24},MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,IFSTSTOCK{2025-12-24},TOAL_MARKET_VALUE<140>
925.64亿,57,-0.63,26.98,1.48亿,554.90万,18.70|2025-12-24,SZ,000895,深交所主板,26.67,0.70,17.54,4.58,26.72,双汇发展,否,0.16,0,False,-0.17,否,925.76亿
1263.48亿,58,0.64,63.68,6.03亿,957.86万,18.67|2025-12-24,SH,600660,上交所主板,62.51,0.88,17.48,4.64,63.08,福耀玻璃,否,0.48,1,False,0.40,否,1646.23亿
2814.85亿,59,0.19,20.96,13.38亿,6420.26万,18.66|2025-12-24,SH,601211,上交所主板,20.74,0.77,12.49,1.17,20.86,国泰海通,否,0.48,1,False,0.04,否,3677.39亿
1006.94亿,60,-0.09,10.87,7.38亿,6877.65万,18.53|2025-12-24,SZ,000425,深交所主板,10.55,1.10,15.99,2.13,10.84,徐工机械,否,0.74,0,False,-0.01,否,1274.02亿
1041.07亿,61,0.23,35.75,7.59亿,2133.48万,18.48|2025-12-24,SH,601995,上交所主板,35.37,0.42,19.63,1.77,35.61,中金公司,否,0.73,1,False,0.08,否,1718.99亿
802.97亿,62,0.19,10.79,5.22亿,4873.21万,17.99|2025-12-24,SH,600958,上交所主板,10.67,0.76,13.41,1.16,10.75,东方证券,否,0.65,1,False,0.02,否,913.39亿
2142.26亿,63,-0.96,177.30,6.81亿,386.99万,17.41|2025-12-24,SH,600809,上交所主板,175.24,1.24,14.09,5.52,175.60,山西汾酒,否,0.32,1,False,-1.70,否,2142.26亿
894.43亿,64,2.42,43.38,19.41亿,4544.85万,17.25|2025-12-24,SH,600362,上交所主板,42.26,1.13,18.58,1.85,43.10,江西铜业,否,2.19,1,False,1.02,否,1492.44亿
916.49亿,65,0.52,101.94,16.59亿,1643.74万,16.99|2025-12-24,SH,600941,上交所主板,100.10,1.29,14.28,1.61,101.52,中国移动,否,1.82,1,False,0.53,否,2.20万亿
872.49亿,66,-2.63,54.09,5.15亿,974.44万,16.80|2025-12-24,SZ,002311,深交所主板,52.22,2.08,15.81,3.46,52.48,海大集团,否,0.59,0,False,-1.42,否,873.14亿
1566.13亿,67,0.42,7.20,3.11亿,4340.83万,16.68|2025-12-24,SH,600019,上交所主板,7.12,0.66,14.76,0.77,7.19,宝钢股份,否,0.20,1,False,0.03,否,1566.13亿
1057.65亿,68,0.34,5.95,6.45亿,1.09亿,16.44|2025-12-24,SH,600795,上交所主板,5.86,0.74,11.71,1.73,5.93,国电电力,否,0.61,1,False,0.02,否,1057.65亿
1005.57亿,69,0.75,13.50,2.88亿,2148.60万,16.26|2025-12-24,SH,600886,上交所主板,13.28,1.12,12.43,1.63,13.49,国投电力,否,0.29,1,False,0.10,否,1079.81亿
1065.79亿,70,-0.38,5.31,5.57亿,1.05亿,16.02|2025-12-24,SH,601006,上交所主板,5.26,0.97,12.84,0.64,5.29,大秦铁路,否,0.52,1,False,-0.02,否,1065.79亿
3499.54亿,71,0.38,28.83,22.66亿,7895.19万,15.31|2025-12-24,SH,600030,上交所主板,28.55,0.73,13.79,1.52,28.74,中信证券,否,0.65,1,False,0.11,否,4259.43亿
6637.64亿,72,-2.19,41.13,10.49亿,2598.18万,15.15|2025-12-24,SH,601088,上交所主板,40.12,1.08,15.36,2.02,40.25,中国神华,否,0.16,1,False,-0.90,否,7997.08亿
1685.92亿,73,0.43,6.96,5.28亿,7612.67万,15.02|2025-12-24,SH,601766,上交所主板,6.85,0.96,14.97,1.17,6.93,中国中车,否,0.31,1,False,0.03,否,1988.83亿
4241.64亿,74,-0.40,109.59,12.86亿,1179.05万,14.93|2025-12-24,SZ,000858,深交所主板,108.78,0.92,14.79,2.98,109.28,五 粮 液,否,0.30,0,False,-0.44,否,4241.82亿
1187.62亿,75,1.15,5.28,3.41亿,6486.64万,14.22|2025-12-24,SZ,000166,深交所主板,5.21,0.83,12.35,1.20,5.27,申万宏源,否,0.29,0,False,0.06,否,1319.61亿
