SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-28},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-28},TOAL_MARKET_VALUE<140>
245,6157.25亿,0.02,58.23,28.43亿,4913.05万,SH,601318,57.62,0.85,7.69,1.11,57.76,中国平安,否,0.46,否,1,False,0.01,8.71,1.05万亿
246,4126.58亿,-4.47,13.07,19.92亿,1.60亿,SH,600000,12.23,1.16,6.94,0.57,12.39,浦发银行,否,0.48,否,1,False,-0.58,8.60,4126.58亿
247,4074.33亿,1.00,6.13,9.76亿,1.61亿,SH,601658,5.97,0.76,7.40,0.74,6.07,邮储银行,否,0.24,否,1,False,0.06,8.39,7289.77亿
248,3120.25亿,-1.01,8.93,5.18亿,5881.91万,SH,601319,8.75,0.77,7.33,1.39,8.79,中国人保,否,0.17,否,1,False,-0.09,8.32,3887.29亿
249,2.15万亿,1.01,8.02,26.40亿,3.32亿,SH,601398,7.85,0.88,8.47,0.76,7.99,工商银行,否,0.12,否,1,False,0.08,7.83,2.85万亿
250,1.18万亿,0.18,5.63,16.75亿,3.00亿,SH,601988,5.54,0.81,7.67,0.68,5.60,中国银行,否,0.14,否,1,False,0.01,7.62,1.80万亿
251,2553.20亿,0.46,37.51,14.53亿,3895.85万,SH,601601,37.03,1.20,6.43,1.27,37.30,中国太保,否,0.57,否,1,False,0.17,7.52,3588.39亿
252,900.84亿,-0.42,9.49,7.43亿,7914.55万,SH,601939,9.31,0.68,7.58,0.73,9.39,建设银行,否,0.82,否,1,False,-0.04,7.37,2.46万亿
253,1439.37亿,-1.29,70.00,11.59亿,1676.29万,SH,601336,68.48,0.74,7.27,2.58,69.02,新华保险,否,0.80,否,1,False,-0.90,7.19,2153.11亿
254,8581.64亿,0.02,41.72,29.29亿,7059.51万,SH,600036,41.23,0.95,7.00,0.99,41.60,招商银行,否,0.34,否,1,False,0.01,7.06,1.05万亿
255,2245.77亿,-0.61,41.15,13.79亿,3380.61万,SZ,000651,40.67,0.89,7.91,1.84,40.72,格力电器,否,0.61,否,0,False,-0.25,7.03,2280.89亿
256,1895.47亿,-0.14,7.32,16.68亿,2.30亿,SH,601328,7.18,0.89,6.98,0.57,7.27,交通银行,否,0.88,否,1,False,-0.01,6.81,6424.05亿
