SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,IFSTSTOCK{2025-11-13},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,PETTM{2025-11-13},BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
32,902.62亿,2.91,149.18,否,12.68亿,867.37万,SZ,002028,深交所主板,42.08,140.50,0.98,39.59,8.00,148.10,思源电气,否,1.42,0,False,4.19,1156.79亿
33,501.82亿,0.10,10.05,否,24.23亿,2.47亿,SH,601179,上交所主板,41.61,9.51,0.85,40.10,2.22,9.79,中国西电,否,4.82,1,False,0.01,501.82亿
34,1163.16亿,0.16,87.49,否,3.07亿,354.93万,SH,601100,上交所主板,41.48,85.51,0.76,41.80,6.82,86.75,恒立液压,否,0.26,1,False,0.14,1163.16亿
35,677.88亿,9.98,31.74,否,19.28亿,6258.22万,SH,603659,上交所主板,41.03,28.86,2.82,29.91,3.43,31.73,璞泰来,否,2.93,1,False,2.88,677.88亿
36,1095.01亿,1.42,63.10,否,9.32亿,1497.31万,SH,601689,上交所主板,40.06,61.66,0.62,41.76,4.70,63.01,拓普集团,否,0.86,1,False,0.88,1095.01亿
37,709.28亿,0.99,37.66,否,9.63亿,2610.53万,SZ,002558,深交所主板,40.05,36.05,1.59,37.55,4.68,36.66,巨人网络,否,1.35,0,False,0.36,709.28亿
38,605.07亿,4.22,5.44,否,15.03亿,2.79亿,SZ,000630,深交所主板,39.38,5.31,2.40,30.84,2.02,5.43,铜陵有色,否,2.50,0,False,0.22,728.13亿
39,2597.84亿,0.17,34.59,否,7.99亿,2315.58万,SH,600150,上交所主板,38.49,34.44,0.56,33.30,1.84,34.52,中国船舶,否,0.31,1,False,0.06,2597.84亿
40,1305.05亿,2.86,19.49,否,50.36亿,2.64亿,SZ,002602,深交所主板,37.54,18.52,2.87,24.34,4.72,19.04,世纪华通,否,3.86,0,False,0.53,1414.31亿
41,594.69亿,10.02,33.50,否,33.19亿,1.01亿,SZ,000426,深交所主板,37.32,31.84,3.76,32.71,6.50,33.50,兴业银锡,否,5.68,0,False,3.05,594.84亿
42,1501.70亿,0.31,124.88,否,7.73亿,621.33万,SH,603501,上交所主板,36.11,123.48,1.13,35.08,5.47,124.48,豪威集团,否,0.52,1,False,0.39,1501.70亿
43,1246.94亿,1.14,64.97,否,15.13亿,2364.25万,SZ,002463,深交所主板,36.10,63.02,0.97,34.44,8.95,64.85,沪电股份,否,1.23,0,False,0.73,1247.95亿
44,896.26亿,1.36,60.96,否,10.20亿,1691.03万,SZ,000977,深交所主板,36.05,59.70,0.93,45.41,4.26,60.95,浪潮信息,否,1.15,0,False,0.82,897.27亿
45,923.65亿,0.62,29.44,否,10.09亿,3455.49万,SZ,002241,深交所主板,35.89,28.96,0.85,30.25,2.86,29.43,歌尔股份,否,1.10,0,False,0.18,1043.48亿
