SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-29},TOAL_MARKET_VALUE<140>
170,1944.60亿,0.72,40.78,10.28亿,2536.53万,SZ,002352,40.20,0.95,17.90,2.15,40.75,顺丰控股,否,否,0.53,0,False,0.29,18.50,2053.57亿
171,2276.09亿,-0.38,187.91,6.71亿,361.45万,SH,600809,184.62,0.68,13.38,6.35,186.57,山西汾酒,否,否,0.30,1,False,-0.72,18.45,2276.09亿
172,961.43亿,1.17,10.40,9.85亿,9552.33万,SZ,000425,10.18,0.58,13.96,2.01,10.35,徐工机械,否,否,1.03,0,False,0.12,18.44,1216.43亿
173,1031.69亿,-0.16,12.50,10.39亿,8345.76万,SZ,000625,12.40,0.75,30.40,1.61,12.49,长安汽车,否,否,1.01,0,False,-0.02,18.22,1238.27亿
174,5317.64亿,-0.44,6.89,5.78亿,8433.97万,SH,601728,6.83,0.80,15.28,1.37,6.85,中国电信,否,否,0.11,1,False,-0.03,18.18,6268.24亿
175,349.05亿,0.78,50.67,2.83亿,562.08万,SZ,002353,49.92,0.52,21.39,2.33,50.35,杰瑞股份,否,否,0.81,0,False,0.39,18.17,515.51亿
176,1689.10亿,0.55,5.49,10.50亿,1.92亿,SH,600050,5.44,0.75,14.68,1.02,5.49,中国联通,否,否,0.62,1,False,0.03,18.14,1716.42亿
177,6374.03亿,3.75,31.05,64.63亿,2.12亿,SH,601899,30.01,0.81,16.30,4.91,30.96,紫金矿业,否,否,1.03,1,False,1.12,18.06,8228.42亿
178,1253.66亿,2.89,18.11,5.48亿,3094.96万,SH,600346,17.04,1.14,18.72,1.94,17.81,恒力石化,否,否,0.44,1,False,0.50,18.01,1253.66亿
179,447.95亿,0.09,21.23,16.93亿,8038.71万,SZ,002236,20.88,0.76,14.76,1.82,21.17,大华股份,否,否,3.80,0,False,0.02,17.86,695.81亿
180,1413.84亿,-0.57,22.86,3.30亿,1455.67万,SH,601633,22.62,0.95,16.93,2.26,22.77,长城汽车,否,否,0.23,1,False,-0.13,17.83,1948.63亿
181,644.65亿,-0.05,55.54,1.01亿,185.21万,SZ,300979,53.93,0.66,19.29,4.30,55.24,华利集团,否,否,0.16,0,False,-0.03,17.75,644.65亿
182,1940.58亿,0.83,62.45,16.63亿,2696.25万,SH,600309,61.03,1.03,15.89,1.85,61.99,万华化学,否,否,0.86,1,False,0.51,17.49,1940.58亿
183,564.93亿,0.76,8.01,4.54亿,5723.33万,SZ,000157,7.87,0.78,12.50,1.21,7.99,中联重科,否,否,0.81,0,False,0.06,17.29,691.02亿
