SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-10-27},PCHG,PETTM{2025-10-27},TOAL_MARKET_VALUE<140>
143,555.53亿,0.92,22.13,6.81亿,3114.63万,SZ,000975,21.60,0.80,18.61,4.23,21.98,山金国际,否,1.23,0,False,否,0.20,20.82,610.32亿
144,611.60亿,0.17,18.27,17.69亿,9845.25万,SH,600522,17.76,1.30,19.51,1.72,17.92,中天科技,否,2.88,1,False,否,0.03,20.73,611.60亿
145,679.97亿,1.47,8.30,12.67亿,1.54亿,SH,601901,8.16,1.87,14.26,1.36,8.26,方正证券,否,1.87,1,False,否,0.12,20.68,679.97亿
146,507.49亿,10.01,63.87,8.58亿,1349.41万,SZ,002595,60.96,4.12,21.43,4.49,63.87,豪迈科技,否,1.70,0,False,否,5.81,20.66,510.96亿
147,419.75亿,-1.47,12.37,6.45亿,5298.46万,SH,600026,11.90,1.16,17.66,1.51,12.08,中远海能,否,1.52,1,False,否,-0.18,20.51,660.20亿
148,851.52亿,1.24,11.55,13.87亿,1.22亿,SH,600958,11.30,1.40,13.98,1.21,11.40,东方证券,否,1.63,1,False,否,0.14,20.35,968.62亿
149,1099.05亿,1.74,7.67,9.24亿,1.22亿,SZ,002027,7.48,1.47,20.62,6.72,7.61,分众传媒,否,0.84,0,False,否,0.13,20.28,1099.05亿
150,990.22亿,-6.24,11.79,38.52亿,3.52亿,SZ,000425,10.58,4.63,14.37,2.07,10.66,徐工机械,否,3.78,0,False,否,-0.71,20.25,1252.87亿
151,1583.56亿,1.82,7.34,8.77亿,1.21亿,SH,600019,7.13,2.00,16.23,0.78,7.27,宝钢股份,否,0.55,1,False,否,0.13,20.21,1583.56亿
152,1.80万亿,-0.66,1452.49,53.53亿,371.02万,SH,600519,1435.99,1.35,19.86,7.56,1440.41,贵州茅台,否,0.30,1,False,否,-9.59,20.19,1.80万亿
153,6794.05亿,0.39,28.56,35.34亿,1.25亿,SH,600900,28.02,1.60,26.52,3.35,28.30,长江电力,否,0.52,1,False,否,0.11,20.18,6924.51亿
154,2553.92亿,0.38,5.25,5.93亿,1.14亿,SH,601816,5.18,0.84,20.22,1.27,5.22,XD京沪高,否,0.23,1,False,否,0.02,20.14,2553.92亿
155,467.74亿,-0.20,66.10,3.70亿,561.24万,SH,600600,65.70,1.54,11.52,3.00,65.96,青岛啤酒,否,0.79,1,False,否,-0.13,19.57,899.82亿
156,1201.57亿,1.19,17.14,3.10亿,1834.08万,SH,600346,16.70,0.81,19.70,1.92,17.07,恒力石化,否,0.26,1,False,否,0.20,19.54,1201.57亿
157,1001.10亿,0.20,56.60,4.42亿,783.25万,SZ,000538,56.29,1.06,13.87,2.61,56.47,云南白药,否,0.44,0,False,否,0.11,19.36,1007.57亿
158,784.76亿,-0.43,43.89,1.68亿,384.22万,SH,603195,43.54,1.61,19.13,5.36,43.58,公牛集团,否,0.21,1,False,否,-0.19,19.34,788.18亿
159,1369.64亿,1.71,69.06,10.53亿,1545.76万,SH,600660,66.80,0.96,18.95,5.03,68.38,福耀玻璃,否,0.77,1,False,否,1.15,19.32,1784.54亿
160,491.02亿,2.69,57.00,3.99亿,707.87万,SH,688187,55.37,1.04,22.95,1.89,56.51,时代电气,否,0.81,1,False,否,1.48,19.19,767.38亿
161,699.55亿,0.86,40.36,3.09亿,772.13万,SZ,000963,39.65,1.43,19.30,2.95,39.93,华东医药,否,0.44,0,False,否,0.34,19.13,700.38亿
162,535.25亿,2.00,22.46,21.68亿,9856.21万,SH,600487,21.73,1.69,16.74,1.80,21.89,亨通光电,否,4.03,1,False,否,0.43,19.09,539.97亿
163,967.25亿,0.97,58.97,4.58亿,789.49万,SZ,002311,57.25,0.77,17.53,3.83,58.18,海大集团,否,0.47,0,False,否,0.56,19.09,967.97亿
164,417.43亿,0.50,14.20,2.64亿,1877.32万,SH,601808,13.88,0.69,17.13,1.51,14.10,中海油服,否,0.63,1,False,否,0.07,19.08,672.79亿
165,5292.17亿,0.72,5.63,9.68亿,1.74亿,SH,600028,5.50,1.23,15.74,0.82,5.58,中国石化,否,0.18,1,False,否,0.04,18.60,6761.71亿
166,1041.60亿,-0.86,12.72,15.49亿,1.23亿,SZ,000625,12.54,1.02,30.69,1.62,12.61,长安汽车,否,1.49,0,False,否,-0.11,18.60,1250.17亿
167,1243.96亿,1.10,5.55,7.53亿,1.37亿,SZ,000166,5.48,1.63,16.13,1.27,5.52,申万宏源,否,0.61,0,False,否,0.06,18.56,1382.20亿
168,454.93亿,7.72,21.96,50.60亿,2.34亿,SZ,002236,20.35,4.25,14.99,1.85,21.50,大华股份,否,11.08,0,False,否,1.54,18.37,706.65亿
169,2255.10亿,0.25,185.66,9.07亿,492.49万,SH,600809,181.89,1.02,13.26,6.29,184.85,山西汾酒,否,0.40,1,False,否,0.47,18.23,2255.10亿
170,5348.69亿,0.29,6.91,7.13亿,1.04亿,SH,601728,6.84,0.91,15.37,1.38,6.89,中国电信,否,0.13,1,False,否,0.02,18.23,6304.84亿
171,351.68亿,0.54,51.78,6.53亿,1285.76万,SZ,002353,49.80,1.20,21.55,2.35,50.73,杰瑞股份,否,1.85,0,False,否,0.27,18.21,519.40亿
172,642.50亿,1.78,16.49,8.72亿,5379.00万,SH,600176,15.99,1.35,18.76,2.03,16.05,中国巨石,否,1.34,1,False,否,0.28,18.14,642.50亿
173,592.65亿,2.77,25.39,21.20亿,8568.95万,SH,601168,24.09,2.03,15.09,3.35,24.87,西部矿业,否,3.60,1,False,否,0.67,18.13,592.65亿
174,1936.49亿,1.76,40.68,14.89亿,3684.23万,SZ,002352,39.98,1.60,17.82,2.14,40.58,顺丰控股,否,0.77,0,False,否,0.70,18.10,2045.00亿
175,861.85亿,6.24,41.97,39.74亿,9683.02万,SH,600362,39.68,1.75,17.22,1.80,41.53,江西铜业,否,4.67,1,False,否,2.44,18.00,1438.07亿
176,1689.10亿,1.10,5.50,16.64亿,3.04亿,SH,600050,5.44,1.29,14.68,1.02,5.49,中国联通,否,0.99,1,False,否,0.06,17.94,1716.42亿
177,3651.75亿,0.40,30.63,139.02亿,4.61亿,SH,600030,29.83,2.33,14.39,1.59,29.99,中信证券,否,3.79,1,False,否,0.12,17.81,4444.68亿
178,572.00亿,-0.49,8.30,8.84亿,1.08亿,SZ,000157,8.03,1.60,12.65,1.22,8.09,中联重科,否,1.53,0,False,否,-0.04,17.59,699.67亿
179,650.71亿,1.86,56.28,1.44亿,258.74万,SZ,300979,55.11,0.97,19.48,4.34,55.76,华利集团,否,0.22,0,False,否,1.02,17.59,650.72亿
180,6382.26亿,3.23,31.30,89.75亿,2.90亿,SH,601899,30.12,1.11,16.32,4.91,31.00,紫金矿业,否,1.41,1,False,否,0.97,17.52,8239.05亿
181,1956.23亿,1.69,63.30,23.06亿,3679.18万,SH,600309,61.81,1.61,16.02,1.86,62.49,万华化学,否,1.18,1,False,否,1.04,17.52,1956.23亿
182,879.56亿,0.32,25.50,1.67亿,658.87万,SZ,000895,25.16,0.94,18.93,4.22,25.39,双汇发展,否,0.19,0,False,否,0.08,17.48,879.68亿
